Nome Atleta,Categoria,Squadra,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO PISTA  A/J/S,500 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,5000 m punti_CAMPIONATO ITALIANO PISTA  A/J/S,10000 m Eliminazione_CAMPIONATO ITALIANO PISTA  A/J/S,3000 m Americana_CAMPIONATO ITALIANO PISTA  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO PISTA  A/J/S,1 giri Crono atleti contrapposti_Campionato italiano su pista cat.R - Trofeo Skate,"1,5 giri Sprint_Campionato italiano su pista cat.R - Trofeo Skate",3000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,5000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,9 g Americana_Campionato italiano su pista cat.R - Trofeo Skate,2000 m punti_Campionato italiano su pista cat.R - Trofeo Skate,3000 m Eliminazione_Campionato italiano su pista cat.R - Trofeo Skate,Destrezza 2_Giochi Nazionali per Societa' - B.Tiezzi,2 giri Sprint (GE)_Giochi Nazionali per Societa' - B.Tiezzi,Destrezza 1_Giochi Nazionali per Societa' - B.Tiezzi,8 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,5 giri In linea_Giochi Nazionali per Societa' - B.Tiezzi,42195 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,21.000 m In linea_CAMPIONATO ITALIANO MARATONA J/S/M - CAMPIONATO IT,100 m Sprint in corsia_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,1 giri Sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,15000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,Team sprint_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,5000 m punti_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,10000 m Eliminazione_CAMPIONATO ITALIANO STRADA cat. A/J/S/M,80 m Sprint in corsia_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,300 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,5000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,Team sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,200 m Sprint_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,3000 m Eliminazione_CAMPIONATO ITALIANO STRADA RAGAZZI - TROFEO SKATE,1 giri Crono atleti contrapposti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,"1,5 giri Sprint_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE",3000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,9 g Americana_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,2000 m punti_CAMPIONATO ITALIANO INDOOR  RAGAZZI - TROFEO SKATE,1 giri Crono atleti contr._CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,1000 m Sprint_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,5000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m Americana_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S,3000 m punti_CAMPIONATO ITALIANO INDOOR CAT.  A/J/S
INCANDELA VALENTINA,SENIORES F,POL.SALINE TRAPANESI (TP),"{'classifica': '23', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '27.205', 'punti': ''}",,"{'classifica': '26', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}","{'classifica': '26', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '37', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}",,,"{'classifica': '55', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '57.080', 'punti': ''}","{'classifica': '37', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}","{'classifica': '51', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,"{'classifica': '30', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '25.788', 'punti': ''}",,"{'classifica': '23', 'pettorina': '403', 'squadra': 'POL.SALINE TRAPANESI (TP)', 'tempo': '', 'punti': ''}",,
ACETI SELENE,SENIORES F,SKATING C.UBOLDO (VA),,"{'classifica': '22', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '53.411', 'punti': ''}","{'classifica': '25', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '', 'punti': ''}","{'classifica': '25', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,"{'classifica': '29', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '', 'punti': ''}",,"{'classifica': '25', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '12.424', 'punti': ''}","{'classifica': '48', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '41.525', 'punti': ''}","{'classifica': '33', 'pettorina': '261', 'squadra': 'SKATING C.UBOLDO (VA)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,,
LOLLOBRIGIDA FRANCESCA,SENIORES F,C.S.AERONAUTICA MI. (RM),,,"{'classifica': '1', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '', 'punti': '26'}","{'classifica': '2', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '16.25.741', 'punti': ''}",,"{'classifica': '1', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '01.33.381', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '1', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '', 'punti': '1.16.05.371'}",,,,"{'classifica': '1', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '', 'punti': '30'}","{'classifica': '1', 'pettorina': '270', 'squadra': 'C.S.AERONAUTICA MI. (RM)', 'tempo': '37.23.721', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,
PALUZZI EDDA,SENIORES F,ROLLING BOSICA (TE),,,"{'classifica': '2', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '11'}","{'classifica': '3', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '16.25.860', 'punti': ''}",,"{'classifica': '11', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.31.647', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '17', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,,"{'classifica': '13', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '38.914', 'punti': ''}","{'classifica': '4', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '5'}","{'classifica': '14', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '01.45.108', 'punti': ''}","{'classifica': '1', 'pettorina': '80', 'squadra': 'ROLLING BOSICA (TE)', 'tempo': '', 'punti': '20'}",,
LOLLOBRIGIDA GIULIA,SENIORES F,FIAMME AZZURRE (RM),,,"{'classifica': '3', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '', 'punti': '10'}","{'classifica': '1', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '16.25.704', 'punti': ''}",,"{'classifica': '10', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '01.31.587', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '12', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '', 'punti': ''}",,,,"{'classifica': '14', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '6', 'pettorina': '199', 'squadra': 'FIAMME AZZURRE (RM)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,
PAGANELLI IRENE,SENIORES F,R.S.VADO LIGURE ASD (SV),,,"{'classifica': '4', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': '8'}","{'classifica': '5', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '16.27.310', 'punti': ''}",,"{'classifica': '3', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '01.33.653', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '8', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}",,,"{'classifica': '17', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '38.878', 'punti': ''}","{'classifica': '5', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': '5'}","{'classifica': '8', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '2', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '01.43.288', 'punti': ''}","{'classifica': '2', 'pettorina': '81', 'squadra': 'R.S.VADO LIGURE ASD (SV)', 'tempo': '', 'punti': '15'}",,
LUCIANI CHIARA,SENIORES F,CSEN ROMA PATT. (RM),,,"{'classifica': '5', 'pettorina': '436', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': '4'}","{'classifica': '4', 'pettorina': '436', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '16.26.366', 'punti': ''}",,"{'classifica': '12', 'pettorina': '436', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '01.31.776', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'classifica': '22', 'pettorina': '436', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '01.46.123', 'punti': ''}","{'classifica': '10', 'pettorina': '436', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': '1'}",,
CORSINI GIORGIA,SENIORES F,ASD CITTA' DI PRIOLO (SR),,,"{'classifica': '6', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '4'}","{'classifica': '12', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,"{'classifica': '16', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.32.196', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '6', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,,"{'classifica': '28', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '39.605', 'punti': ''}","{'classifica': '10', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '2'}","{'classifica': '38', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '4', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.43.631', 'punti': ''}","{'classifica': '4', 'pettorina': '816', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '10'}",,
TAGLIATA ROBERTA MARIA,SENIORES F,ASD CITTA' DI PRIOLO (SR),,,"{'classifica': '7', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '3'}","{'classifica': '8', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,"{'classifica': '19', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.33.844', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '7', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,,"{'classifica': '25', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '39.445', 'punti': ''}","{'classifica': '11', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}","{'classifica': '11', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '13', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '01.42.546', 'punti': ''}","{'classifica': '5', 'pettorina': '758', 'squadra': ""ASD CITTA' DI PRIOLO (SR)"", 'tempo': '', 'punti': '7'}",,
DI NATALE FEDERICA,SENIORES F,C.P.G.A. ASD (AQ),,,"{'classifica': '8', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': '1'}","{'classifica': '10', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': ''}",,"{'classifica': '8', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '01.36.788', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '4', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': ''}",,,"{'classifica': '', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': 'NP'}","{'classifica': '8', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': '2'}","{'classifica': '7', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '12', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '01.42.017', 'punti': ''}","{'classifica': '9', 'pettorina': '244', 'squadra': 'C.P.G.A. ASD (AQ)', 'tempo': '', 'punti': '1'}",,
RODRIGUEZ GUERRERO YINETH STEFANNY,SENIORES F,GS SCALTENIGO VE (VE),,,"{'classifica': '9', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': '1'}","{'classifica': '11', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,"{'classifica': '5', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.34.175', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '13', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,,"{'classifica': '12', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '38.402', 'punti': ''}","{'classifica': '19', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '13', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '18', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.45.572', 'punti': ''}","{'classifica': '13', 'pettorina': '495', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,
GATTI MELISSA,SENIORES F,A.S.D.BRIANZA INLINE (CO),,,"{'classifica': '10', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '', 'punti': '1'}","{'classifica': '9', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '', 'punti': ''}",,"{'classifica': '4', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '01.33.891', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '2', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '', 'punti': '1.16.05.743'}",,,"{'classifica': '3', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '36.420', 'punti': ''}","{'classifica': '3', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '', 'punti': '5'}","{'classifica': '4', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '37.41.247', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '3', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '01.43.450', 'punti': ''}","{'classifica': '15', 'pettorina': '757', 'squadra': 'A.S.D.BRIANZA INLINE (CO)', 'tempo': '', 'punti': ''}",,
DE PALMA LUCREZIA,SENIORES F,S.S.D.S.MENS SANA (SI),,,"{'classifica': '11', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}","{'classifica': '7', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,"{'classifica': '6', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.34.188', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,"{'classifica': '21', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '39.249', 'punti': ''}","{'classifica': '12', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}","{'classifica': '17', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '5', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '01.44.541', 'punti': ''}","{'classifica': '8', 'pettorina': '268', 'squadra': 'S.S.D.S.MENS SANA (SI)', 'tempo': '', 'punti': '2'}",,
SARONNI SOFIA,SENIORES F,POL. BELLUSCO (MB),,,"{'classifica': '12', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}","{'classifica': '17', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,"{'classifica': '7', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.34.379', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '11', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,"{'classifica': '11', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '38.295', 'punti': ''}","{'classifica': '9', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '2'}","{'classifica': '16', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '1', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '01.43.068', 'punti': ''}","{'classifica': '3', 'pettorina': '838', 'squadra': 'POL. BELLUSCO (MB)', 'tempo': '', 'punti': '10'}",,
RONZANI ILARIA,SENIORES F,GS SCALTENIGO VE (VE),,,"{'classifica': '13', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}","{'classifica': '6', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,"{'classifica': '9', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.31.501', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '16', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,,"{'classifica': '16', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '40.938', 'punti': ''}","{'classifica': '16', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '5', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '37.52.566', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '40', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.50.887', 'punti': ''}","{'classifica': '11', 'pettorina': '140', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,
MONTICO SIRIA,SENIORES F,CSEN ROMA PATT. (RM),,,"{'classifica': '14', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': ''}","{'classifica': '16', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': ''}",,"{'classifica': '15', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '01.32.089', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '20', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': ''}",,,"{'classifica': '30', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '39.692', 'punti': ''}","{'classifica': '17', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '9', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '11', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '01.41.871', 'punti': ''}","{'classifica': '20', 'pettorina': '32', 'squadra': 'CSEN ROMA PATT. (RM)', 'tempo': '', 'punti': ''}",,
ELLI MATILDE,SENIORES F,ROTELL.ROSEDA MERATE (LC),,,"{'classifica': '15', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '', 'punti': ''}","{'classifica': '14', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '', 'punti': ''}",,"{'classifica': '42', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '01.40.967', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '21', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '', 'punti': ''}",,,"{'classifica': '51', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '41.999', 'punti': ''}","{'classifica': '21', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '19', 'pettorina': '852', 'squadra': 'ROTELL.ROSEDA MERATE (LC)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,,,,
MARADEI CHIARA,SENIORES F,ASD INLINE 360 (MI),,,"{'classifica': '16', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}","{'classifica': '20', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}",,"{'classifica': '21', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '01.34.256', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '23', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}",,,"{'classifica': '44', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '40.597', 'punti': ''}","{'classifica': '27', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}","{'classifica': '45', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '30', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '01.48.522', 'punti': ''}","{'classifica': '21', 'pettorina': '506', 'squadra': 'ASD INLINE 360 (MI)', 'tempo': '', 'punti': ''}",,
CESARO EMMA,SENIORES F,GS SCALTENIGO VE (VE),,,"{'classifica': '17', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}","{'classifica': '19', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,"{'classifica': '23', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.34.299', 'punti': ''}",,,,,,,,,,,,,"{'classifica': '39', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,,"{'classifica': '33', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '39.984', 'punti': ''}","{'classifica': '25', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': 'dopp.'}","{'classifica': '30', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,,,,,,,,,,,,,,,,,"{'classifica': '28', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '01.48.440', 'punti': ''}","{'classifica': '18', 'pettorina': '803', 'squadra': 'GS SCALTENIGO VE (VE)', 'tempo': '', 'punti': ''}",,
